x,y,channel,bit_index,payload_bit,byte_index
2614,0,R,15685,0,1960
2614,0,G,15686,0,1960
2614,0,G,15687,1,1960
2614,0,B,15688,0,1961
2614,0,B,15689,0,1961
2615,0,R,15690,1,1961
2615,0,R,15691,1,1961
2615,0,G,15692,0,1961
2615,0,G,15693,0,1961
2615,0,B,15694,0,1961
2615,0,B,15695,0,1961
2616,0,R,15696,0,1962
2616,0,R,15697,1,1962
2616,0,G,15698,0,1962
2616,0,G,15699,0,1962
2616,0,B,15700,1,1962
2616,0,B,15701,0,1962
2617,0,R,15702,1,1962
2617,0,R,15703,1,1962
2617,0,G,15704,0,1963
2617,0,G,15705,1,1963
2617,0,B,15706,1,1963
2617,0,B,15707,0,1963
2618,0,R,15708,1,1963
2618,0,R,15709,1,1963
2618,0,G,15710,0,1963
2618,0,G,15711,0,1963
2618,0,B,15712,0,1964
2618,0,B,15713,0,1964
2619,0,R,15714,1,1964
2619,0,R,15715,1,1964
2619,0,G,15716,1,1964
2619,0,G,15717,1,1964
2619,0,B,15718,1,1964
2619,0,B,15719,0,1964
2620,0,R,15720,0,1965
2620,0,R,15721,0,1965
2620,0,G,15722,1,1965
2620,0,G,15723,1,1965
2620,0,B,15724,0,1965
2620,0,B,15725,0,1965
2621,0,R,15726,0,1965
2621,0,R,15727,1,1965
2621,0,G,15728,0,1966
2621,0,G,15729,0,1966
2621,0,B,15730,1,1966
2621,0,B,15731,1,1966
2622,0,R,15732,1,1966
2622,0,R,15733,0,1966
2622,0,G,15734,0,1966
2622,0,G,15735,1,1966
2622,0,B,15736,0,1967
2622,0,B,15737,0,1967
2623,0,R,15738,1,1967
2623,0,R,15739,0,1967
2623,0,G,15740,1,1967
2623,0,G,15741,0,1967
2623,0,B,15742,1,1967
2623,0,B,15743,1,1967
2624,0,R,15744,0,1968
2624,0,R,15745,1,1968
2624,0,G,15746,0,1968
2624,0,G,15747,1,1968
2624,0,B,15748,0,1968
2624,0,B,15749,1,1968
2625,0,R,15750,1,1968
2625,0,R,15751,1,1968
2625,0,G,15752,0,1969
2625,0,G,15753,0,1969
2625,0,B,15754,1,1969
2625,0,B,15755,1,1969
2626,0,R,15756,0,1969
2626,0,R,15757,0,1969
2626,0,G,15758,0,1969
2626,0,G,15759,1,1969
2626,0,B,15760,0,1970
2626,0,B,15761,0,1970
2627,0,R,15762,1,1970
2627,0,R,15763,1,1970
2627,0,G,15764,1,1970
2627,0,G,15765,1,1970
2627,0,B,15766,1,1970
2627,0,B,15767,1,1970
2628,0,R,15768,0,1971
2628,0,R,15769,1,1971
2628,0,G,15770,1,1971
2628,0,G,15771,0,1971
2628,0,B,15772,1,1971
2628,0,B,15773,0,1971
2629,0,R,15774,0,1971
2629,0,R,15775,1,1971
2629,0,G,15776,0,1972
2629,0,G,15777,1,1972
2629,0,B,15778,1,1972
2629,0,B,15779,1,1972
2630,0,R,15780,0,1972
2630,0,R,15781,1,1972
2630,0,G,15782,0,1972
2630,0,G,15783,1,1972
2630,0,B,15784,0,1973
2630,0,B,15785,0,1973
2631,0,R,15786,1,1973
2631,0,R,15787,1,1973
2631,0,G,15788,0,1973
2631,0,G,15789,1,1973
2631,0,B,15790,1,1973
2631,0,B,15791,1,1973
2632,0,R,15792,0,1974
2632,0,R,15793,1,1974
2632,0,G,15794,1,1974
2632,0,G,15795,0,1974
2632,0,B,15796,0,1974
2632,0,B,15797,1,1974
2633,0,R,15798,1,1974
2633,0,R,15799,1,1974
2633,0,G,15800,0,1975
2633,0,G,15801,0,1975
2633,0,B,15802,1,1975
2633,0,B,15803,0,1975
2634,0,R,15804,1,1975
2634,0,R,15805,0,1975
2634,0,G,15806,1,1975
2634,0,G,15807,1,1975
2634,0,B,15808,0,1976
2634,0,B,15809,1,1976
2635,0,R,15810,0,1976
2635,0,R,15811,1,1976
2635,0,G,15812,1,1976
2635,0,G,15813,1,1976
2635,0,B,15814,0,1976
2635,0,B,15815,0,1976
2636,0,R,15816,0,1977
2636,0,R,15817,0,1977
2636,0,G,15818,1,1977
2636,0,G,15819,1,1977
2636,0,B,15820,1,1977
2636,0,B,15821,0,1977
2637,0,R,15822,1,1977
2637,0,R,15823,0,1977
2637,0,G,15824,0,1978
2637,0,G,15825,1,1978
2637,0,B,15826,1,1978
2637,0,B,15827,0,1978
2638,0,R,15828,0,1978
2638,0,R,15829,0,1978
2638,0,G,15830,1,1978
2638,0,G,15831,0,1978
2638,0,B,15832,0,1979
2638,0,B,15833,1,1979
2639,0,R,15834,0,1979
2639,0,R,15835,1,1979
2639,0,G,15836,0,1979
2639,0,G,15837,1,1979
2639,0,B,15838,0,1979
2639,0,B,15839,1,1979
2640,0,R,15840,0,1980
2640,0,R,15841,1,1980
2640,0,G,15842,1,1980
2640,0,G,15843,0,1980
2640,0,B,15844,0,1980
2640,0,B,15845,0,1980
2641,0,R,15846,0,1980
2641,0,R,15847,0,1980
2641,0,G,15848,0,1981
2641,0,G,15849,0,1981
2641,0,B,15850,1,1981
2641,0,B,15851,1,1981
2642,0,R,15852,1,1981
2642,0,R,15853,0,1981
2642,0,G,15854,1,1981
2642,0,G,15855,1,1981
2642,0,B,15856,0,1982
2642,0,B,15857,1,1982
2643,0,R,15858,1,1982
2643,0,R,15859,0,1982
2643,0,G,15860,1,1982
2643,0,G,15861,0,1982
