x,y,channel,bit_index,payload_bit,byte_index
359,0,G,1078,0,134
359,0,B,1079,0,134
360,0,R,1080,0,135
360,0,G,1081,1,135
360,0,B,1082,0,135
361,0,R,1083,1,135
361,0,G,1084,1,135
361,0,B,1085,1,135
362,0,R,1086,1,135
362,0,G,1087,1,135
362,0,B,1088,0,136
363,0,R,1089,1,136
363,0,G,1090,1,136
363,0,B,1091,1,136
364,0,R,1092,0,136
364,0,G,1093,0,136
364,0,B,1094,1,136
365,0,R,1095,1,136
365,0,G,1096,0,137
365,0,B,1097,1,137
366,0,R,1098,1,137
366,0,G,1099,0,137
366,0,B,1100,1,137
367,0,R,1101,0,137
367,0,G,1102,0,137
367,0,B,1103,1,137
368,0,R,1104,0,138
368,0,G,1105,1,138
368,0,B,1106,1,138
369,0,R,1107,1,138
369,0,G,1108,1,138
369,0,B,1109,0,138
370,0,R,1110,1,138
370,0,G,1111,0,138
370,0,B,1112,0,139
371,0,R,1113,1,139
371,0,G,1114,1,139
371,0,B,1115,0,139
372,0,R,1116,0,139
372,0,G,1117,1,139
372,0,B,1118,0,139
373,0,R,1119,1,139
373,0,G,1120,0,140
373,0,B,1121,0,140
374,0,R,1122,1,140
374,0,G,1123,0,140
374,0,B,1124,0,140
375,0,R,1125,0,140
375,0,G,1126,1,140
375,0,B,1127,0,140
376,0,R,1128,0,141
376,0,G,1129,0,141
376,0,B,1130,1,141
377,0,R,1131,1,141
377,0,G,1132,1,141
377,0,B,1133,0,141
378,0,R,1134,1,141
378,0,G,1135,0,141
378,0,B,1136,0,142
379,0,R,1137,0,142
379,0,G,1138,1,142
379,0,B,1139,0,142
380,0,R,1140,0,142
380,0,G,1141,0,142
380,0,B,1142,0,142
381,0,R,1143,0,142
381,0,G,1144,0,143
381,0,B,1145,0,143
382,0,R,1146,1,143
382,0,G,1147,1,143
