x,y,channel,bit_index,payload_bit,byte_index
67,0,B,406,1,50
67,0,B,407,0,50
68,0,R,408,0,51
68,0,R,409,0,51
68,0,G,410,1,51
68,0,G,411,0,51
68,0,B,412,0,51
68,0,B,413,0,51
69,0,R,414,0,51
69,0,R,415,0,51
69,0,G,416,0,52
69,0,G,417,0,52
69,0,B,418,1,52
69,0,B,419,0,52
70,0,R,420,0,52
70,0,R,421,0,52
70,0,G,422,1,52
70,0,G,423,0,52
70,0,B,424,0,53
70,0,B,425,1,53
71,0,R,426,1,53
71,0,R,427,1,53
71,0,G,428,0,53
71,0,G,429,0,53
71,0,B,430,0,53
71,0,B,431,0,53
72,0,R,432,0,54
72,0,R,433,1,54
72,0,G,434,1,54
72,0,G,435,0,54
72,0,B,436,0,54
72,0,B,437,1,54
73,0,R,438,0,54
73,0,R,439,0,54
73,0,G,440,0,55
73,0,G,441,1,55
73,0,B,442,1,55
73,0,B,443,0,55
74,0,R,444,0,55
74,0,R,445,1,55
74,0,G,446,1,55
74,0,G,447,0,55
74,0,B,448,0,56
74,0,B,449,0,56
75,0,R,450,1,56
75,0,R,451,0,56
75,0,G,452,0,56
75,0,G,453,0,56
75,0,B,454,1,56
75,0,B,455,0,56
76,0,R,456,0,57
76,0,R,457,0,57
76,0,G,458,1,57
76,0,G,459,0,57
76,0,B,460,1,57
76,0,B,461,1,57
77,0,R,462,0,57
77,0,R,463,0,57
77,0,G,464,0,58
77,0,G,465,0,58
77,0,B,466,1,58
77,0,B,467,0,58
78,0,R,468,0,58
78,0,R,469,0,58
78,0,G,470,0,58
78,0,G,471,0,58
78,0,B,472,0,59
78,0,B,473,0,59
79,0,R,474,1,59
79,0,R,475,0,59
79,0,G,476,0,59
79,0,G,477,0,59
79,0,B,478,1,59
79,0,B,479,0,59
80,0,R,480,0,60
80,0,R,481,1,60
80,0,G,482,1,60
80,0,G,483,0,60
80,0,B,484,0,60
80,0,B,485,1,60
81,0,R,486,1,60
81,0,R,487,0,60
81,0,G,488,0,61
81,0,G,489,1,61
81,0,B,490,1,61
81,0,B,491,0,61
82,0,R,492,1,61
82,0,R,493,0,61
82,0,G,494,0,61
82,0,G,495,1,61
82,0,B,496,0,62
82,0,B,497,1,62
83,0,R,498,1,62
83,0,R,499,0,62
83,0,G,500,1,62
83,0,G,501,1,62
83,0,B,502,0,62
83,0,B,503,0,62
84,0,R,504,0,63
84,0,R,505,1,63
84,0,G,506,1,63
84,0,G,507,0,63
84,0,B,508,0,63
84,0,B,509,1,63
85,0,R,510,0,63
85,0,R,511,1,63
85,0,G,512,0,64
85,0,G,513,1,64
85,0,B,514,1,64
85,0,B,515,0,64
86,0,R,516,1,64
86,0,R,517,1,64
86,0,G,518,1,64
86,0,G,519,0,64
86,0,B,520,0,65
86,0,B,521,1,65
87,0,R,522,1,65
87,0,R,523,0,65
87,0,G,524,0,65
87,0,G,525,0,65
87,0,B,526,0,65
87,0,B,527,1,65
88,0,R,528,0,66
88,0,R,529,1,66
88,0,G,530,1,66
88,0,G,531,0,66
88,0,B,532,1,66
88,0,B,533,1,66
89,0,R,534,0,66
89,0,R,535,1,66
89,0,G,536,0,67
89,0,G,537,1,67
89,0,B,538,1,67
89,0,B,539,0,67
90,0,R,540,0,67
90,0,R,541,1,67
90,0,G,542,0,67
90,0,G,543,1,67
90,0,B,544,0,68
90,0,B,545,0,68
91,0,R,546,1,68
91,0,R,547,0,68
91,0,G,548,0,68
91,0,G,549,0,68
91,0,B,550,1,68
91,0,B,551,0,68
92,0,R,552,0,69
92,0,R,553,0,69
92,0,G,554,1,69
92,0,G,555,1,69
92,0,B,556,1,69
92,0,B,557,0,69
93,0,R,558,1,69
93,0,R,559,0,69
93,0,G,560,0,70
93,0,G,561,0,70
93,0,B,562,1,70
93,0,B,563,0,70
94,0,R,564,0,70
94,0,R,565,0,70
94,0,G,566,0,70
94,0,G,567,0,70
94,0,B,568,0,71
94,0,B,569,0,71
95,0,R,570,1,71
95,0,R,571,0,71
95,0,G,572,0,71
95,0,G,573,0,71
95,0,B,574,1,71
95,0,B,575,0,71
96,0,R,576,0,72
96,0,R,577,1,72
96,0,G,578,1,72
96,0,G,579,1,72
96,0,B,580,0,72
96,0,B,581,1,72
97,0,R,582,0,72
97,0,R,583,0,72
97,0,G,584,0,73
97,0,G,585,1,73
97,0,B,586,1,73
97,0,B,587,0,73
98,0,R,588,0,73
98,0,R,589,1,73
98,0,G,590,0,73
98,0,G,591,1,73
98,0,B,592,0,74
98,0,B,593,1,74
99,0,R,594,1,74
99,0,R,595,1,74
99,0,G,596,0,74
99,0,G,597,0,74
99,0,B,598,1,74
99,0,B,599,1,74
100,0,R,600,0,75
100,0,R,601,1,75
100,0,G,602,1,75
100,0,G,603,1,75
100,0,B,604,0,75
100,0,B,605,1,75
101,0,R,606,0,75
101,0,R,607,0,75
101,0,G,608,0,76
101,0,G,609,1,76
101,0,B,610,0,76
101,0,B,611,1,76
102,0,R,612,1,76
102,0,R,613,1,76
102,0,G,614,1,76
102,0,G,615,1,76
102,0,B,616,0,77
102,0,B,617,1,77
103,0,R,618,1,77
103,0,R,619,1,77
103,0,G,620,0,77
103,0,G,621,0,77
103,0,B,622,0,77
103,0,B,623,0,77
104,0,R,624,0,78
104,0,R,625,1,78
104,0,G,626,1,78
104,0,G,627,0,78
104,0,B,628,0,78
104,0,B,629,0,78
105,0,R,630,0,78
105,0,R,631,1,78
105,0,G,632,0,79
105,0,G,633,1,79
105,0,B,634,1,79
105,0,B,635,1,79
106,0,R,636,1,79
106,0,R,637,0,79
106,0,G,638,0,79
106,0,G,639,1,79
106,0,B,640,0,80
106,0,B,641,1,80
107,0,R,642,1,80
107,0,R,643,0,80
107,0,G,644,1,80
107,0,G,645,1,80
107,0,B,646,0,80
107,0,B,647,0,80
108,0,R,648,0,81
108,0,R,649,1,81
108,0,G,650,1,81
108,0,G,651,0,81
108,0,B,652,1,81
108,0,B,653,1,81
109,0,R,654,1,81
109,0,R,655,1,81
109,0,G,656,0,82
109,0,G,657,1,82
109,0,B,658,1,82
109,0,B,659,0,82
110,0,R,660,0,82
110,0,R,661,0,82
110,0,G,662,0,82
110,0,G,663,1,82
110,0,B,664,0,83
110,0,B,665,1,83
111,0,R,666,1,83
111,0,R,667,0,83
111,0,G,668,0,83
111,0,G,669,1,83
111,0,B,670,0,83
111,0,B,671,0,83
112,0,R,672,0,84
112,0,R,673,0,84
112,0,G,674,1,84
112,0,G,675,0,84
112,0,B,676,1,84
112,0,B,677,1,84
113,0,R,678,1,84
113,0,R,679,0,84
113,0,G,680,0,85
113,0,G,681,1,85
113,0,B,682,1,85
113,0,B,683,1,85
114,0,R,684,0,85
114,0,R,685,0,85
114,0,G,686,0,85
114,0,G,687,0,85
114,0,B,688,0,86
114,0,B,689,1,86
115,0,R,690,1,86
115,0,R,691,0,86
115,0,G,692,0,86
115,0,G,693,1,86
115,0,B,694,0,86
115,0,B,695,0,86
116,0,R,696,0,87
116,0,R,697,1,87
116,0,G,698,1,87
116,0,G,699,0,87
116,0,B,700,0,87
116,0,B,701,1,87
117,0,R,702,1,87
117,0,R,703,0,87
117,0,G,704,0,88
117,0,G,705,0,88
117,0,B,706,1,88
117,0,B,707,0,88
118,0,R,708,0,88
118,0,R,709,0,88
118,0,G,710,1,88
118,0,G,711,0,88
118,0,B,712,0,89
118,0,B,713,0,89
119,0,R,714,1,89
119,0,R,715,0,89
119,0,G,716,1,89
119,0,G,717,1,89
119,0,B,718,0,89
119,0,B,719,0,89
120,0,R,720,0,90
120,0,R,721,0,90
120,0,G,722,1,90
120,0,G,723,0,90
120,0,B,724,0,90
120,0,B,725,0,90
121,0,R,726,0,90
121,0,R,727,0,90
121,0,G,728,0,91
121,0,G,729,0,91
121,0,B,730,1,91
121,0,B,731,0,91
122,0,R,732,0,91
122,0,R,733,0,91
122,0,G,734,1,91
122,0,G,735,0,91
122,0,B,736,0,92
122,0,B,737,1,92
123,0,R,738,1,92
123,0,R,739,0,92
123,0,G,740,1,92
123,0,G,741,1,92
123,0,B,742,0,92
123,0,B,743,1,92
124,0,R,744,0,93
124,0,R,745,1,93
124,0,G,746,1,93
124,0,G,747,0,93
124,0,B,748,1,93
124,0,B,749,0,93
125,0,R,750,0,93
125,0,R,751,1,93
125,0,G,752,0,94
125,0,G,753,1,94
125,0,B,754,1,94
125,0,B,755,0,94
126,0,R,756,1,94
126,0,R,757,1,94
126,0,G,758,0,94
126,0,G,759,1,94
126,0,B,760,0,95
126,0,B,761,1,95
127,0,R,762,1,95
127,0,R,763,0,95
127,0,G,764,0,95
127,0,G,765,1,95
127,0,B,766,0,95
127,0,B,767,1,95
128,0,R,768,0,96
128,0,R,769,1,96
128,0,G,770,0,96
128,0,G,771,1,96
128,0,B,772,1,96
128,0,B,773,1,96
129,0,R,774,1,96
129,0,R,775,1,96
129,0,G,776,0,97
129,0,G,777,1,97
129,0,B,778,1,97
129,0,B,779,1,97
130,0,R,780,0,97
130,0,R,781,1,97
130,0,G,782,0,97
130,0,G,783,0,97
130,0,B,784,0,98
130,0,B,785,1,98
131,0,R,786,1,98
131,0,R,787,1,98
131,0,G,788,1,98
131,0,G,789,0,98
131,0,B,790,0,98
131,0,B,791,1,98
132,0,R,792,0,99
132,0,R,793,1,99
132,0,G,794,1,99
132,0,G,795,1,99
132,0,B,796,0,99
132,0,B,797,0,99
133,0,R,798,0,99
133,0,R,799,0,99
133,0,G,800,0,100
133,0,G,801,1,100
133,0,B,802,1,100
133,0,B,803,0,100
134,0,R,804,0,100
134,0,R,805,1,100
134,0,G,806,0,100
134,0,G,807,1,100
134,0,B,808,0,101
134,0,B,809,0,101
135,0,R,810,1,101
135,0,R,811,0,101
135,0,G,812,0,101
135,0,G,813,0,101
135,0,B,814,1,101
135,0,B,815,0,101
136,0,R,816,0,102
136,0,R,817,0,102
136,0,G,818,1,102
136,0,G,819,1,102
136,0,B,820,1,102
136,0,B,821,0,102
137,0,R,822,1,102
137,0,R,823,0,102
137,0,G,824,0,103
137,0,G,825,0,103
137,0,B,826,1,103
137,0,B,827,0,103
138,0,R,828,0,103
138,0,R,829,0,103
138,0,G,830,0,103
138,0,G,831,0,103
138,0,B,832,0,104
138,0,B,833,0,104
139,0,R,834,1,104
139,0,R,835,0,104
139,0,G,836,0,104
139,0,G,837,0,104
139,0,B,838,1,104
139,0,B,839,0,104
140,0,R,840,0,105
140,0,R,841,1,105
140,0,G,842,1,105
140,0,G,843,0,105
140,0,B,844,0,105
140,0,B,845,0,105
141,0,R,846,0,105
141,0,R,847,1,105
141,0,G,848,0,106
141,0,G,849,1,106
141,0,B,850,1,106
141,0,B,851,1,106
142,0,R,852,0,106
142,0,R,853,0,106
142,0,G,854,0,106
142,0,G,855,0,106
142,0,B,856,0,107
142,0,B,857,1,107
143,0,R,858,1,107
143,0,R,859,1,107
143,0,G,860,0,107
143,0,G,861,0,107
143,0,B,862,0,107
143,0,B,863,0,107
144,0,R,864,0,108
144,0,R,865,1,108
144,0,G,866,1,108
144,0,G,867,0,108
144,0,B,868,1,108
144,0,B,869,1,108
145,0,R,870,0,108
145,0,R,871,0,108
145,0,G,872,0,109
145,0,G,873,1,109
145,0,B,874,1,109
145,0,B,875,0,109
146,0,R,876,1,109
146,0,R,877,0,109
146,0,G,878,0,109
146,0,G,879,1,109
146,0,B,880,0,110
146,0,B,881,1,110
147,0,R,882,1,110
147,0,R,883,0,110
147,0,G,884,0,110
147,0,G,885,0,110
147,0,B,886,1,110
147,0,B,887,1,110
148,0,R,888,0,111
148,0,R,889,1,111
148,0,G,890,1,111
148,0,G,891,0,111
148,0,B,892,0,111
148,0,B,893,0,111
149,0,R,894,0,111
149,0,R,895,1,111
149,0,G,896,0,112
149,0,G,897,1,112
149,0,B,898,1,112
149,0,B,899,1,112
150,0,R,900,0,112
150,0,R,901,1,112
150,0,G,902,0,112
150,0,G,903,0,112
150,0,B,904,0,113
150,0,B,905,1,113
151,0,R,906,1,113
151,0,R,907,0,113
151,0,G,908,1,113
151,0,G,909,0,113
151,0,B,910,0,113
151,0,B,911,1,113
152,0,R,912,0,114
152,0,R,913,1,114
152,0,G,914,1,114
152,0,G,915,0,114
152,0,B,916,1,114
152,0,B,917,1,114
153,0,R,918,1,114
153,0,R,919,1,114
153,0,G,920,0,115
153,0,G,921,1,115
153,0,B,922,1,115
153,0,B,923,0,115
